fecha,COVID,NOCOVID
2022-03-03,22,721
2022-03-04,31,723
2022-03-05,31,723
2022-03-06,31,723
2022-03-07,22,721
2022-03-08,22,735
2022-03-09,17,731
2022-03-10,19,737
2022-03-11,15,732
2022-03-12,15,732
2022-03-13,15,732
2022-03-14,9,714
2022-03-15,20,725
2022-03-16,21,746
2022-03-17,20,746
2022-03-18,19,758
2022-03-19,19,758
2022-03-20,19,758
2022-03-21,18,743
2022-03-22,18,747
2022-03-23,19,777
2022-03-24,19,758
2022-03-25,21,758
2022-03-26,21,758
2022-03-27,21,758
2022-03-28,20,732
2022-03-29,23,719
2022-03-30,20,742
2022-03-31,21,749
2022-04-01,21,740
2022-04-02,21,740
2022-04-03,21,740
2022-04-04,21,715
2022-04-05,21,713
2022-04-06,18,712
2022-04-07,16,724
2022-04-08,12,746
2022-04-09,12,746
2022-04-10,12,746
2022-04-11,14,740
2022-04-12,14,777
2022-04-13,19,779
2022-04-14,19,803
2022-04-15,19,803
2022-04-16,19,803
2022-04-17,19,803
2022-04-18,19,673
2022-04-19,22,729
2022-04-20,22,744
2022-04-21,19,760
2022-04-22,16,770
2022-04-23,16,770
2022-04-24,16,770
2022-04-25,16,746
2022-04-26,15,741
2022-04-27,16,758
2022-04-28,16,758
2022-04-29,14,757
2022-04-30,14,757
2022-05-01,14,757
2022-05-02,12,720
2022-05-03,12,730
2022-05-04,12,746
2022-05-05,12,765
2022-05-06,13,760
2022-05-07,13,760
2022-05-08,13,760
2022-05-09,13,680
2022-05-10,11,727
2022-05-11,11,727
2022-05-12,11,747
2022-05-13,8,785
2022-05-14,8,785
2022-05-15,8,785
2022-05-16,7,804
2022-05-17,14,781
2022-05-18,14,794
2022-05-19,15,802
2022-05-20,12,798
2022-05-21,12,798
2022-05-22,12,798
2022-05-23,12,770
2022-05-24,11,772
2022-05-25,11,772
2022-05-26,11,772
2022-05-27,13,793
2022-05-28,13,793
2022-05-29,13,793
2022-05-30,13,770
2022-05-31,12,779
2022-06-01,12,777
2022-06-02,10,788
2022-06-03,10,781
2022-06-04,10,781
2022-06-05,10,781
2022-06-06,11,733
2022-06-07,12,722
2022-06-08,13,717
2022-06-09,15,731
2022-06-10,14,740
2022-06-11,14,740
2022-06-12,14,740
2022-06-13,11,723
2022-06-14,11,697
2022-06-15,11,740
2022-06-16,11,740
2022-06-17,10,758
2022-06-18,10,758
2022-06-19,10,758
2022-06-20,15,736
2022-06-21,15,736
2022-06-22,16,739
2022-06-23,18,769
2022-06-24,18,769
2022-06-25,18,769
2022-06-26,18,769
2022-06-27,22,766
2022-06-28,19,787
2022-06-29,19,787
2022-06-30,28,785
2022-07-01,27,777
2022-07-02,27,777
2022-07-03,30,775
2022-07-04,30,775
